YT_ID,Start_time,End_time,Label,Genre
--1rvyPa8UM, 40.000, 50.000,/m/0glt670,Hip hop music
--4kp9W7cNY, 160.000, 170.000,/m/06cqb,Reggae
--6HJzEIsFs, 30.000, 40.000,/m/06j6l,Rhythm and blues
--AQ3p3ymeE, 70.000, 80.000,/m/06by7,Rock music
--BMVWju1-w, 30.000, 40.000,/m/06j6l,Rhythm and blues
--Cc0ZmStCs, 30.000, 40.000,/m/06j6l,Rhythm and blues
--Fti-jdXEI, 240.000, 250.000,/m/0y4f8,Vocal music
--GXulx19TI, 80.000, 90.000,/m/064t9,Pop music
--IsizwatBY, 30.000, 40.000,/m/06j6l,Rhythm and blues
--MLNYqE2ec, 30.000, 40.000,/m/064t9,Pop music
--OWKKCOydU, 30.000, 40.000,/m/07gxw,Techno
--RgmM7N2EU, 0.000, 10.000,/m/06cqb,Reggae
--S2EYGEwfE, 30.000, 40.000,/m/07gxw,Techno
--WxoinaQzk, 30.000, 40.000,/m/064t9,Pop music
--bPD3OLPXw, 90.000, 100.000,/m/064t9,Pop music
--eAUZ9r0r8, 140.000, 150.000,/m/06j6l,Rhythm and blues
--fv5B8LSOA, 140.000, 150.000,/m/06j6l,Rhythm and blues
--hpdFXotM0, 7.000, 17.000,/m/064t9,Pop music
--iIcadFu9c, 10.000, 20.000,/m/06cqb,Reggae
--iQZuCF9wY, 30.000, 40.000,/m/06j6l,Rhythm and blues
--jx9vb7eKE, 30.000, 40.000,/m/07gxw,Techno
--kYBfYfwxw, 30.000, 40.000,/m/07gxw,Techno
--obVyYWq6c, 50.000, 60.000,/m/0glt670,Hip hop music
--qS-tOzHsE, 30.000, 40.000,/m/06j6l,Rhythm and blues
--tsENImDFw, 30.000, 40.000,/m/064t9,Pop music
--yIlcZ27iI, 30.000, 40.000,/m/064t9,Pop music
--zznQC7TD4, 30.000, 40.000,/m/064t9,Pop music
-02F7gRGYHw, 170.000, 180.000,/m/0glt670,Hip hop music
-044saZCrTg, 30.000, 40.000,/m/06j6l,Rhythm and blues
